1,200.0,-1384.38,-0.01352,2200
2,200.0,-1356.31,0.00873,4400
3,200.0,-1226.91,-0.00883,6600
4,200.0,-1304.15,0.01014,8800
5,200.0,-1339.69,-0.02377,11000
6,200.0,-1275.2,-0.031,13200
7,200.0,-1222.9,-0.02194,15400
8,200.0,-1215.42,-0.01876,17600
9,200.0,-1004.08,-0.00995,19800
10,200.0,-1035.01,0.00412,22000
11,200.0,-1198.3,0.00682,24200
12,200.0,-1200.03,0.00438,26400
13,200.0,-1298.27,0.02503,28600
14,200.0,-1283.18,-0.00398,30800
15,200.0,-1047.26,-0.00899,33000
16,200.0,-1229.37,-0.01859,35200
17,200.0,-1307.16,-0.01667,37400
18,200.0,-1078.17,0.01846,39600
19,200.0,-1312.32,-0.03631,41800
20,200.0,-1100.72,-0.01607,44000
21,200.0,-1215.12,-0.02364,46200
22,200.0,-1133.76,-0.00258,48400
23,200.0,-1249.35,-0.01084,50600
24,200.0,-1245.67,-0.00922,52800
25,200.0,-1162.05,0.01032,55000
26,200.0,-1212.38,0.00945,57200
27,200.0,-1199.36,0.01065,59400
28,200.0,-1246.99,0.00032,61600
29,200.0,-1256.63,-0.01388,63800
30,200.0,-1104.57,-0.00062,66000
31,200.0,-1251.07,-0.00134,68200
32,200.0,-1178.59,0.01399,70400
33,200.0,-1213.5,0.00744,72600
34,200.0,-1235.53,-0.02094,74800
35,200.0,-1273.92,-0.00106,77000
36,200.0,-1140.93,-0.00687,79200
37,200.0,-1179.91,0.01079,81400
38,200.0,-1051.86,-0.00621,83600
39,200.0,-1144.44,0.02303,85800
40,200.0,-1201.25,0.01038,88000
41,200.0,-1122.36,0.00148,90200
42,200.0,-1079.5,-0.01253,92400
43,200.0,-1100.68,-0.00879,94600
44,200.0,-1129.71,-0.01861,96800
45,200.0,-1253.84,0.0132,99000
46,200.0,-1052.16,0.00409,101200
47,200.0,-1179.54,0.01708,103400
48,200.0,-1096.49,0.01798,105600
49,200.0,-1059.16,0.00113,107800
50,200.0,-1155.64,0.0159,110000
51,200.0,-1179.55,-0.01844,112200
52,200.0,-1156.99,0.00867,114400
53,200.0,-1230.81,-0.00854,116600
54,200.0,-1270.69,-0.01702,118800
55,200.0,-1118.8,0.01243,121000
56,200.0,-1065.01,0.00445,123200
57,200.0,-1092.18,-0.0103,125400
58,200.0,-1151.22,0.00763,127600
59,200.0,-1273.42,0.02808,129800
60,200.0,-1173.38,-1e-04,132000
61,200.0,-1206.54,-0.03412,134200
62,200.0,-1131.86,-0.00308,136400
63,200.0,-1095.42,0.01447,138600
64,200.0,-1197.44,-0.03034,140800
65,200.0,-1102.73,0.00413,143000
66,200.0,-1218.95,0.00479,145200
67,200.0,-1058.82,-0.00066,147400
68,200.0,-1021.3,-0.00479,149600
69,200.0,-1137.0,-0.01181,151800
70,200.0,-1093.16,0.00577,154000
71,200.0,-1094.95,-0.00315,156200
72,200.0,-1135.39,0.00462,158400
73,200.0,-1218.0,0.00804,160600
74,200.0,-1119.07,0.02102,162800
75,200.0,-1196.32,-0.00082,165000
76,200.0,-1252.44,-0.00563,167200
77,200.0,-1271.63,0.02013,169400
78,200.0,-1170.57,0.00984,171600
79,200.0,-1213.12,0.00022,173800
80,200.0,-1184.68,0.00373,176000
81,200.0,-1091.48,-0.03166,178200
82,200.0,-1230.81,0.0055,180400
83,200.0,-1080.96,0.02033,182600
84,200.0,-1095.49,0.00458,184800
85,200.0,-1280.32,0.0014,187000
86,200.0,-1286.09,0.01057,189200
87,200.0,-1262.23,0.01499,191400
88,200.0,-1159.02,-0.01204,193600
89,200.0,-932.68,-0.01039,195800
90,200.0,-1144.65,0.00232,198000
91,200.0,-1122.84,-0.00402,200200
92,200.0,-1294.87,0.00632,202400
93,200.0,-1185.97,-0.00152,204600
94,200.0,-1240.77,-0.00612,206800
95,200.0,-1113.62,-0.01846,209000
96,200.0,-1358.27,-0.0193,211200
97,200.0,-1270.89,-0.02543,213400
98,200.0,-1055.46,0.00358,215600
99,200.0,-1301.3,0.01927,217800
100,200.0,-1178.69,-0.02637,220000
101,200.0,-1240.49,-0.01223,222200
102,200.0,-1103.16,-9e-05,224400
103,200.0,-1104.7,-0.01801,226600
104,200.0,-1006.76,0.00359,228800
105,200.0,-1298.63,-0.00527,231000
106,200.0,-1126.66,-0.00304,233200
107,200.0,-1220.03,0.01713,235400
108,200.0,-1185.76,0.01035,237600
109,200.0,-1128.07,0.0246,239800
110,200.0,-1089.1,0.01447,242000
111,200.0,-1136.47,0.00915,244200
112,200.0,-1240.12,0.02861,246400
113,200.0,-1225.07,0.02442,248600
114,200.0,-1096.63,0.02578,250800
115,200.0,-1278.96,0.0153,253000
116,200.0,-1099.2,0.00052,255200
117,200.0,-1225.55,0.00392,257400
118,200.0,-980.99,-0.01127,259600
119,200.0,-1038.93,0.00414,261800
120,200.0,-1181.91,-0.00429,264000
121,200.0,-1067.83,0.00304,266200
122,200.0,-1029.05,-0.00544,268400
123,200.0,-1074.9,0.02938,270600
124,200.0,-1185.97,0.02544,272800
125,200.0,-1120.81,0.0042,275000
126,200.0,-1056.15,-0.01059,277200
127,200.0,-1181.36,0.00039,279400
128,200.0,-1081.28,0.02796,281600
129,200.0,-994.76,0.01214,283800
130,200.0,-1197.44,-0.01516,286000
131,200.0,-1176.55,-0.01216,288200
132,200.0,-985.05,-0.00374,290400
133,200.0,-1234.09,0.00155,292600
134,200.0,-1124.55,0.00157,294800
135,200.0,-1113.67,0.00137,297000
136,200.0,-1159.85,-0.01953,299200
137,200.0,-1080.0,0.02584,301400
